Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Porc_Over_Home,Porc_Over_Away,CustoGolHome,CustoGolAway,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_CG_A,DP_CG_A,CV_CG_A,MediaCustoGolHome,MediaCustoGolAway,Last_CG_H,Last_CG_A,Acima_Last_CG_H,Acima_Last_CG_A,Abaixo_Last_CG_H,Abaixo_Last_CG_A,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA
2023-11-24,Finlândia Korisliiga,13:30,BC Nokia,Kobrat,1.33,3.21,162.5,1.87,1.79,-8.5,2.08,1.66,Ie1oMpQO,0.7518796992481203,0.3115264797507788,0.53475935828877,0.5586592178770949,0.06340617899889911,0.0,0.0,,,,,,,,,0.0,0.0,125.46000000000001,129.36,0.0,0.0,0.0,0.0,0.5856214751677133,0.030911771855149643,0.15881542679056151,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Finlândia Korisliiga,13:30,Kouvot,Helsinki Seagulls,3.53,1.28,177.5,1.86,1.88,7.5,1.96,1.76,v52sNQAI,0.28328611898017,0.78125,0.5376344086021505,0.5319148936170213,0.06453611898017009,0.0,0.0,,,,,,,,,0.0,0.0,0.0,113.52000000000001,0.0,0.0,0.0,0.0,0.6615344106734853,0.00756263937097904,0.07603298722435994,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Finlândia I Divisão A,13:30,HBA-Marsky Helsinki,Raiders Basket,1.56,2.32,171.5,1.87,1.79,-4.5,2.01,1.72,OCI1SbHG,0.641025641025641,0.4310344827586207,0.53475935828877,0.5586592178770949,0.07206012378426174,0.0,0.0,,,,,,,,,0.0,0.0,0.0,104.16,0.0,0.0,0.0,0.0,0.2770109039699876,0.030911771855149643,0.10995226088155426,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,Finlândia I Divisão A,13:30,Kristika Turku,Helsingin NMKY,2.93,1.37,168.5,1.85,1.85,5.5,1.97,1.74,pMJcTv2A,0.341296928327645,0.7299270072992701,0.5405405405405405,0.5405405405405405,0.07122393562691509,0.0,0.0,,,,,,,,,0.0,0.0,0.0,154.7,0.0,0.0,0.0,0.0,0.51306352495396,0.0,0.0876736170743428,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,França Pro B,16:00,Aix-Maurienne,Pau-Orthez,2.68,1.43,162.5,1.87,1.79,3.5,2.1,1.66,MHNnF7uO,0.3731343283582089,0.6993006993006994,0.53475935828877,0.5586592178770949,0.0724350276589083,0.0,0.0,,,,,,,,,0.0,0.0,174.01999999999998,0.0,0.0,0.0,0.0,0.0,0.4301136138604304,0.030911771855149643,0.16549307644791544,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,França Pro B,16:00,ASA,Lille,1.65,2.15,162.5,1.85,1.85,-3.5,2.0,1.72,Yei5Xleh,0.6060606060606061,0.46511627906976744,0.5405405405405405,0.5405405405405405,0.07117688513037357,0.0,0.0,,,,,,,,,0.0,0.0,116.64,0.0,0.0,0.0,0.0,0.0,0.18608073189119673,0.0,0.10644618211410395,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,França Pro B,16:00,Boulazac,Fos-sur-Mer,1.39,2.84,156.5,1.86,1.84,-6.5,1.95,1.76,GKKvHTAB,0.7194244604316548,0.35211267605633806,0.5376344086021505,0.5434782608695652,0.07153713648799287,0.0,0.0,,,,,,,,,0.0,0.0,135.02,0.0,0.0,0.0,0.0,0.0,0.4847776986858128,0.007644397634449168,0.07242603149619622,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,França Pro B,16:00,Denain-Voltaire,Angers,1.32,3.2,163.5,1.87,1.79,-8.5,2.09,1.66,0rgcZAQu,0.7575757575757576,0.3125,0.53475935828877,0.5586592178770949,0.07007575757575757,0.0,0.0,,,,,,,,,0.0,0.0,114.53999999999999,252.72,0.0,0.0,0.0,0.0,0.5882127206330573,0.030911771855149643,0.16216315515211488,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,França Pro B,16:00,Evreux,Nantes,1.49,2.5,157.5,1.88,1.79,-5.5,2.04,1.69,vZi1YUun,0.6711409395973155,0.4,0.5319148936170213,0.5586592178770949,0.07114093959731549,0.0,0.0,,,,,,,,,0.0,0.0,0.0,270.3,0.0,0.0,0.0,0.0,0.3579838842097308,0.03468098654320936,0.13270100451222075,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
2023-11-24,França Pro B,16:00,Poitiers,Orleans,2.02,1.72,165.5,1.86,1.84,1.5,1.87,1.83,nae9W8Ab,0.49504950495049505,0.5813953488372093,0.5376344086021505,0.5434782608695652,0.07644485378770449,0.0,0.0,,,,,,,,,0.0,0.0,142.11999999999998,192.24,0.0,0.0,0.0,0.0,0.11343959056468678,0.007644397634449168,0.015288795268898337,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
